open,close,high,low
142.0,145.0,146.5,142.0
146.0,147.5,148.0,145.5
149.0,148.0,149.0,147.0
150.0,151.0,151.0,149.5
149.0,151.0,151.0,149.0
149.5,151.0,152.5,149.5
150.5,149.5,151.0,149.0
149.5,148.0,150.5,147.0
149.0,150.5,151.0,148.5
151.0,149.0,151.5,148.0
148.5,152.0,152.0,148.5
154.0,153.0,154.5,153.0
154.0,154.0,154.5,153.0
153.0,152.5,153.5,151.5
152.5,152.0,153.5,151.0
151.0,152.0,152.0,149.5
152.0,153.0,153.0,150.5
153.0,154.5,154.5,151.5
154.5,155.0,155.0,153.0
156.5,156.0,157.5,155.5
155.0,154.5,156.5,153.0
155.5,156.0,156.0,154.0
159.5,158.5,160.0,157.5
158.5,159.5,159.5,158.5
160.0,160.0,160.0,158.0
159.5,158.5,159.5,157.0
158.5,159.5,159.5,158.0
158.0,158.5,159.0,157.0
158.5,158.0,159.0,157.0
158.0,159.0,159.0,157.0
158.5,159.0,159.5,158.0
158.5,161.5,162.0,158.5
162.0,162.0,163.0,159.0
161.0,158.5,161.0,157.5
155.5,153.5,156.0,153.5
155.0,154.5,155.0,152.5
154.0,157.5,158.0,154.0
156.0,158.5,159.0,155.5
157.5,158.5,159.5,157.5
160.0,161.5,162.0,159.5
162.0,161.5,162.5,160.0
157.0,159.5,160.0,156.0
158.0,158.0,158.5,157.5
160.0,157.5,161.0,157.0
157.5,154.0,158.0,154.0
156.0,157.0,157.0,154.0
155.5,156.5,158.0,155.0
156.5,157.5,157.5,156.0
156.5,158.0,158.5,156.5
156.0,156.5,157.5,155.5
157.5,153.0,158.0,153.0
151.0,150.0,151.0,149.0
148.0,147.5,148.5,146.5
147.0,147.0,149.0,146.5
147.5,147.5,148.5,146.0
148.5,148.0,148.5,147.0
148.5,147.5,149.0,146.5
147.0,147.0,148.0,146.5
148.5,147.0,149.0,146.5
147.0,146.0,148.0,146.0
145.0,144.0,145.5,143.0
143.0,144.5,145.5,143.0
145.5,147.0,147.0,145.0
146.0,147.0,147.0,145.0
148.0,147.0,148.5,145.5
147.5,148.5,149.5,147.0
150.5,154.0,154.5,149.5
152.5,151.0,153.5,151.0
153.5,154.5,155.0,152.5
154.5,155.0,155.0,153.5
156.0,156.5,156.5,154.5
157.0,157.0,158.0,155.0
156.5,156.5,157.5,155.0
156.0,159.0,159.0,156.0
159.0,159.0,160.0,158.0
159.0,160.5,160.5,159.0
160.0,160.0,160.0,159.5
161.0,161.0,162.0,160.0
161.5,162.0,163.5,161.0
164.0,165.5,166.0,163.5
161.0,162.0,162.5,161.0
161.0,162.0,163.0,161.0
162.0,163.0,163.0,161.0
161.5,160.5,162.5,159.5
162.5,163.0,164.5,162.0
164.5,163.0,165.0,163.0
164.0,165.5,165.5,163.5
164.5,166.0,166.0,163.5
165.5,164.0,166.0,164.0
164.0,159.0,164.0,154.5
154.5,155.5,156.0,154.0
155.5,157.0,157.5,155.0
158.5,159.0,160.0,158.0
161.0,162.5,163.0,159.5
164.5,166.0,166.0,163.5
165.5,166.0,166.5,164.5
165.0,164.0,165.5,164.0
163.0,161.5,163.0,160.5
163.5,164.5,165.0,163.0
170.0,170.0,170.5,168.5
171.0,171.0,171.5,169.5
169.5,168.5,170.0,167.0
167.0,169.0,170.0,167.0
168.0,169.5,169.5,166.5
168.0,169.5,170.0,168.0
170.5,170.5,170.5,169.0
170.0,170.0,170.5,169.0
171.0,172.0,172.0,170.0
172.0,171.0,172.0,170.5
172.0,171.5,173.0,169.0
172.0,173.0,173.0,171.5
175.0,175.0,176.0,174.5
175.0,176.5,176.5,173.0
